"('INITIAL VALUES', 'No. of Blocks Per Day:', 1440, 'User Limit:', 1000000000.0, 'Starting # of users::', 20)"
Day,Yesterday Tx Value,Today Tx Value,deltaT,Supply Current,Supply Cap,Spread,g,r (yearly),r(daily),average reward per block,f_deltaT,rewards given out per day,no. of users,tx fees paid per day,Total Daily Interest Paid Out
10,9041079.810999997,8679041.249999994,-668580.0,21114561.807732627,33636111.34458203,12521549.536849402,-354000.4521051813,0.13900487693337718,0.0003808352792695265,2.8770586757953116,-0.03608442411510437,4142.9644931452485,23711,158.40000000000316,8037.984000000663
11,8679041.249999994,6428282.010999993,4340510.0,21120893.97299594,31381224.3844805,10260330.411484558,-2248554.7948382003,0.038100001401594336,0.0001043835654838201,2.8668085207068756,0.10090487553178284,4128.204269817901,25920,125.28000000000345,2203.9610000003568
12,6428282.010999993,6888424.413999998,-3425130.0,21132453.738545094,31837381.77108279,10704928.032537695,467717.1521514449,0.13087807079589941,0.00035857005697506687,2.7675441339611586,-0.09277806939430508,3985.263552904068,28024,142.55999999999986,7574.502000000791
13,6888424.413999998,6874726.733999992,-420020.0,21145496.022491533,31819660.677964315,10674164.655472782,-4678.809172035195,0.15574439366894224,0.00042669696895600615,2.7941881602152034,-0.02486632287304282,4023.630950709893,30236,149.7600000000019,9018.653000001475
14,6874726.733999992,6568900.571999998,-700250.0,21160707.285934515,31509809.623272937,10349102.337338421,-294639.79124839604,0.19305521393030026,0.0005289183943295898,2.7952065607676153,-0.03731082026135802,4025.0974475053663,32471,151.19999999999933,11186.16600000164
15,6568900.571999998,6776144.591000012,-796040.0,21176308.47345275,31713049.557002638,10536741.083549887,218841.12124793604,0.2,0.0005479452054794521,2.7807753629266094,-0.040997611143892186,4004.3165226143174,34709,164.16000000000315,11596.871000001824
16,6776144.591000012,6153124.902000007,5086070.0,21185792.091017973,31086006.74656484,9900214.655546866,-617559.1928725773,0.09410055925093411,0.0002578097513724222,2.7941170640122928,0.1058994407490659,4023.528572177702,36870,155.52000000000268,5460.089000001318
17,6153124.902000007,6476873.359000002,-1102370.0,21198208.212825313,31405781.997762427,10207573.784937114,332191.3730049273,0.14543173288461364,0.000398443103793462,2.7594345925381876,-0.05133117363367955,3973.58581325499,39045,171.3599999999997,8442.536000001375
18,6476873.359000002,4702969.336999995,-1170860.0,21213759.53382317,29627874.41751475,8414114.88369158,-1762356.2592498222,0.19879686997671436,0.0005446489588403134,2.780483335532005,-0.053365137092100716,4003.896003166087,41192,129.60000000000363,11547.425000002471
19,4702969.336999995,5984793.736000011,1401030.0,21225661.92031834,30905884.750960175,9680222.830641836,1289912.7199405953,0.13914112678386384,0.0003812085665311338,2.648881598592366,0.05965574319285052,3814.389501973007,43330,171.3599999999997,8087.997000001371
