"('INITIAL VALUES', 'No. of Blocks Per Day:', 1440, 'User Limit:', 1000000000.0, 'Starting # of users::', 20)"
Day,Yesterday Tx Value,Today Tx Value,deltaT,Supply Current,Supply Cap,Spread,g,r (yearly),r(daily),average reward per block,f_deltaT,rewards given out per day,no. of users,tx fees paid per day,Total Daily Interest Paid Out
12,2420471.787000003,2544051.302999995,-6872800.992870331,21171979.845006697,27479643.826969247,6307663.98196255,135174.24774410855,0.2,0.0005479452054794521,3.7767707130901425,-0.1214785644776094,5438.549826849805,28154,122.77200000000006,11594.41200000197
13,2544051.302999995,2458587.4590000063,12410370.40260315,21181339.345352106,27388657.950620383,6207318.605268277,-81626.37600345677,0.06613980189746965,0.0001812049367053963,3.8351634403526993,0.13386019810253036,5522.635354107887,30362,121.67900000000019,3836.8650000009784
14,2458587.4590000063,2436141.467999997,-49120765.21980667,21198418.87419509,27360741.641741335,6162322.767546244,-10836.7800360634,0.2,0.0005479452054794521,3.7990721174107818,-0.145883740650442,5470.663849071526,32510,126.83400000000036,11608.8650000023
15,2436141.467999997,2408806.6710000024,14642842.402721405,21207580.833413467,27327947.292294346,6120366.458880879,-23632.390228616074,0.06373260595203831,0.0001746098793206529,3.7918258533407445,0.1362673940479617,5460.229228810672,34630,130.8130000000005,3701.7300000011683
16,2408806.6710000024,2392386.1489999993,3912499.850631714,21210769.669076283,27306081.55565131,6095311.886575028,-18676.900980219245,-0.038824181235597555,-0.00010636761982355494,3.780682395482241,0.10255678718763586,5444.182649494427,36791,134.48800000000028,-2255.347000001516
17,2392386.1489999993,2452162.7730000024,-47320174.16919708,21222416.479154345,27360424.939662505,6138008.46050816,65990.1940892553,0.10689721603963104,0.000292869085040085,3.77345144995552,-0.1457213972752286,5433.770087935949,38990,140.57300000000018,6213.040000001803
18,2452162.7730000024,2428113.430999998,-10689606.660930634,21239524.74099471,27330899.058299944,6091374.317305233,-12417.619522194378,0.2,0.0005479452054794521,3.803501978288095,-0.13128012652198673,5477.042848734857,41098,143.99500000000032,11631.219000003342
19,2428113.430999998,2526049.721,18602312.68511963,21248531.58393997,27423370.821613047,6174839.237673078,101478.60625836253,0.060858838873965454,0.00016673654486017934,3.7954444161332694,0.13914116112603456,5465.439959231908,43221,152.01899999999978,3541.403000001541
20,2526049.721,2477027.254999998,-31401637.664367676,21265708.447179686,27368817.554266583,6103109.107086897,-37376.404106747825,0.2,0.0005479452054794521,3.8412300338372045,-0.1435464428140056,5531.371248725574,45400,152.376,11645.492000003522
21,2477027.254999998,2478356.2880000016,-10692703.825187683,21282867.85809622,27364642.63550792,6081774.777411699,12984.492157869507,0.2,0.0005479452054794521,3.8225805040367606,-0.13124819367177223,5504.515925812935,47590,155.89100000000013,11654.895000003713
