"('INITIAL VALUES', 'No. of Blocks Per Day:', 1440, 'User Limit:', 1000000000.0, 'Starting # of users::', 20)"
Day,Yesterday Tx Value,Today Tx Value,deltaT,Supply Current,Supply Cap,Spread,g,r (yearly),r(daily),average reward per block,f_deltaT,rewards given out per day,no. of users,tx fees paid per day,Total Daily Interest Paid Out
28,5256505.045000001,5955237.416999995,-1996770.0,21380675.039917197,30769272.389378395,9388597.349461198,710441.3948333785,0.2,0.0005479452054794521,4.473144051892731,-0.07176413458508125,6441.327434725532,62802,221.75999999999698,11708.36900000414
29,5955237.416999995,5494048.66800001,642110.0,21397309.08880557,30301536.6096185,8904227.520812929,-451101.73087152,0.17214771977008225,0.00047163758841118426,4.546973540873962,0.027852280229917762,6547.641898858506,65013,210.23999999999307,10086.407000004272
30,5494048.66800001,5365460.135999999,2142250.0,21409491.502221588,30166460.01380721,8756968.511585623,-122894.18239527103,0.0971060185445921,0.00026604388642353997,4.506189882513711,0.07504170122549016,6488.9134308197445,67223,210.23999999999307,5693.500000002794
31,5365460.135999999,5257727.577999997,-1637550.0,21425318.839940242,30052255.333097287,8626936.493157044,-98377.3429912692,0.15944430111403243,0.00043683370168228066,4.4950755076290365,-0.06233828256944033,6472.908730985812,69419,210.23999999999307,9354.429000004442
32,5257727.577999997,4572123.781999999,6127880.0,21434218.87261076,29360192.521890193,7925973.649279434,-683162.7785365768,0.041572440703635624,0.0001138970978181798,4.48643103699994,0.11787186041039681,6460.460693279912,71572,185.75999999999786,2439.5720000025176
33,4572123.781999999,5280141.513000011,-1763180.0,21446855.50250266,30061876.15610993,8615020.653607268,714320.2641116399,0.10729315016274485,0.00029395383606231466,4.399431880379873,-0.06572070945910923,6335.181907747017,73701,220.31999999999698,6301.448000003117
34,5280141.513000011,5350426.864999995,-1262210.0,21462616.555217,30125691.644857638,8663075.089640636,79576.54146204889,0.15807731339623454,0.0004330885298526974,4.493472033510384,-0.050784163233489686,6470.599728254953,75835,227.5199999999927,9290.453000004758
35,5350426.864999995,5129333.460000002,-36540.0,21478495.97503443,29898112.430750333,8419616.455715902,-211699.79428987578,0.15970242837400533,0.00043754089965480913,4.504584605106929,-0.0016251149777707912,6486.601831353978,78004,221.75999999999698,9392.818000004989
36,5129333.460000002,5027470.015999991,-681910.0,21496078.226253558,29789794.797599435,8293716.571345877,-90735.38193176966,0.18905058992669596,0.0005179468217169752,4.482633494627182,-0.029348161552690627,6454.992232263142,80132,218.87999999999283,11127.259000005517
37,5027470.015999991,4786143.243000003,-2529460.0,21514302.131867524,29542026.32209555,8027724.190228026,-229544.56988991704,0.2,0.0005479452054794521,4.47392335261216,-0.08272114656567174,6442.44962776151,82323,213.11999999999676,11781.456000005614
38,4786143.243000003,4765459.820000001,1750660.0,21528650.967229284,29514941.241047263,7986290.273817979,-12736.245686529204,0.13478739370203796,0.00036928053069051496,4.446342624099668,0.06521260629796204,6402.733378703522,84443,216.00000000000534,7946.102000003287
39,4765459.820000001,4153954.886,1087810.0,21540369.65498596,28897034.76351245,7356665.108526491,-606187.7897781362,0.09012086297592514,0.0002469064739066442,4.446475540083464,0.04466653072611282,6402.924777720187,86620,190.08000000000442,5315.763000003987
